PERMNO,date,TICKER,RET,vwretd,sector_1dgt
10104,2007-01-31,ORCL,0.001167,0.019387,7
10104,2007-02-28,ORCL,-0.042541,-0.014006000000000001,7
10104,2007-03-30,ORCL,0.103469,0.012953999999999999,7
10104,2007-04-30,ORCL,0.036955,0.039833999999999994,7
10104,2007-05-31,ORCL,0.030851,0.038952999999999995,7
10104,2007-06-29,ORCL,0.017028,-0.014747,7
10104,2007-07-31,ORCL,-0.029934,-0.03179,7
10104,2007-08-31,ORCL,0.060669000000000015,0.011593000000000001,7
10104,2007-09-28,ORCL,0.067554,0.040822000000000004,7
10104,2007-10-31,ORCL,0.024018,0.025910000000000002,7
10104,2007-11-30,ORCL,-0.08976100000000001,-0.049362,7
10104,2007-12-31,ORCL,0.11893,-0.004405,7
10104,2008-01-31,ORCL,-0.089903,-0.062217999999999996,7
10104,2008-02-29,ORCL,-0.085158,-0.021697,7
10104,2008-03-31,ORCL,0.040426,-0.010444,7
10104,2008-04-30,ORCL,0.065951,0.051199,7
10104,2008-05-30,ORCL,0.095444,0.023934999999999998,7
10104,2008-06-30,ORCL,-0.08056,-0.078436,7
10104,2008-07-31,ORCL,0.025238,-0.013413,7
10104,2008-08-29,ORCL,0.018579,0.010597,7
10104,2008-09-30,ORCL,-0.073871,-0.09817200000000001,7
10104,2008-10-31,ORCL,-0.099458,-0.184838,7
10104,2008-11-28,ORCL,-0.12028399999999999,-0.084686,7
10104,2008-12-31,ORCL,0.101927,0.022231,7
10104,2009-01-30,ORCL,-0.050761,-0.077475,7
10104,2009-02-27,ORCL,-0.076649,-0.100175,7
10104,2009-03-31,ORCL,0.162806,0.086813,7
10104,2009-04-30,ORCL,0.073049,0.109483,7
10104,2009-05-29,ORCL,0.012927000000000001,0.067797,7
10104,2009-06-30,ORCL,0.093415,-0.00302,7
10104,2009-07-31,ORCL,0.035481,0.08179199999999999,7
10104,2009-08-31,ORCL,-0.011297,0.031514,7
10104,2009-09-30,ORCL,-0.047532,0.045288,7
10104,2009-10-30,ORCL,0.014875,-0.028079000000000003,7
10104,2009-11-30,ORCL,0.046445,0.05708600000000001,7
10104,2009-12-31,ORCL,0.11095999999999999,0.028486,7
10104,2010-01-29,ORCL,-0.057888,-0.037186000000000004,7
10104,2010-02-26,ORCL,0.068951,0.034754,7
10104,2010-03-31,ORCL,0.043002,0.063688,7
10104,2010-04-30,ORCL,0.008071,0.020038999999999998,7
10104,2010-05-28,ORCL,-0.127477,-0.07926699999999999,7
10104,2010-06-30,ORCL,-0.04918,-0.050802,7
10104,2010-07-30,ORCL,0.103914,0.070384,7
10104,2010-08-31,ORCL,-0.075931,-0.042887,7
10104,2010-09-30,ORCL,0.22911399999999998,0.091669,7
10104,2010-10-29,ORCL,0.096089,0.038606,7
10104,2010-11-30,ORCL,-0.079476,0.005121,7
10104,2010-12-31,ORCL,0.15733,0.067213,7
10104,2011-01-31,ORCL,0.024919999999999998,0.019190000000000002,7
10104,2011-02-28,ORCL,0.027162000000000002,0.038168,7
10104,2011-03-31,ORCL,0.016184999999999998,0.003343,7
10104,2011-04-29,ORCL,0.077395,0.028602,7
10104,2011-05-31,ORCL,-0.048387,-0.014958,7
10104,2011-06-30,ORCL,-0.038282,-0.018453,7
